# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"2563509","2023-03-08 22:35:30","http://182.112.242.62:47815/Mozi.m","offline","2023-03-09 00:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563509/","lrz_urlhaus"
"2563510","2023-03-08 22:35:30","http://42.227.203.69:39822/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563510/","lrz_urlhaus"
"2563508","2023-03-08 22:35:29","http://182.126.115.183:41658/Mozi.m","offline","2023-03-08 23:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563508/","lrz_urlhaus"
"2563507","2023-03-08 22:34:39","http://112.238.87.186:40775/Mozi.m","offline","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563507/","lrz_urlhaus"
"2563506","2023-03-08 22:34:22","http://117.219.126.142:35129/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563506/","lrz_urlhaus"
"2563505","2023-03-08 22:34:21","http://163.179.232.89:41794/Mozi.m","online","None","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563505/","lrz_urlhaus"
"2563504","2023-03-08 22:34:14","http://117.248.63.242:45858/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563504/","lrz_urlhaus"
"2563503","2023-03-08 22:31:17","http://61.52.198.99:46271/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563503/","geenensp"
"2563502","2023-03-08 22:26:14","http://182.118.137.241:46121/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563502/","geenensp"
"2563501","2023-03-08 22:26:13","http://163.182.243.171:36616/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563501/","geenensp"
"2563500","2023-03-08 22:21:34","http://27.45.92.218:42503/Mozi.m","offline","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563500/","lrz_urlhaus"
"2563499","2023-03-08 22:20:23","http://125.44.28.170:51881/Mozi.m","offline","2023-03-09 00:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563499/","lrz_urlhaus"
"2563498","2023-03-08 22:19:28","http://115.49.1.193:38906/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563498/","lrz_urlhaus"
"2563497","2023-03-08 22:19:22","http://117.253.101.186:55825/Mozi.m","offline","2023-03-08 23:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563497/","lrz_urlhaus"
"2563496","2023-03-08 22:17:23","http://112.245.255.167:52992/i","offline","2023-03-08 23:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563496/","geenensp"
"2563495","2023-03-08 22:15:20","http://112.245.255.167:52992/bin.sh","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563495/","geenensp"
"2563494","2023-03-08 22:13:22","http://117.253.101.186:55825/bin.sh","offline","2023-03-09 00:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563494/","geenensp"
"2563493","2023-03-08 22:13:16","http://117.255.178.209:34906/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563493/","geenensp"
"2563492","2023-03-08 22:12:28","http://123.133.213.186:33534/bin.sh","offline","2023-03-09 01:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563492/","geenensp"
"2563491","2023-03-08 22:08:13","http://121.226.239.34:5945/.i","online","None","malware_download","hajime","https://urlhaus.abuse.ch/url/2563491/","geenensp"
"2563490","2023-03-08 22:07:25","http://61.53.85.194:53580/Mozi.m","offline","2023-03-08 23:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563490/","lrz_urlhaus"
"2563489","2023-03-08 22:07:21","http://59.89.213.79:43726/Mozi.m","offline","2023-03-09 00:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563489/","lrz_urlhaus"
"2563488","2023-03-08 22:07:19","http://117.222.161.140:38520/bin.sh","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563488/","geenensp"
"2563487","2023-03-08 22:06:27","http://182.121.18.140:43548/Mozi.m","offline","2023-03-08 23:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563487/","lrz_urlhaus"
"2563486","2023-03-08 22:05:28","http://175.162.203.63:40798/Mozi.m","offline","2023-03-08 23:XX:XX","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563486/","lrz_urlhaus"
"2563485","2023-03-08 22:03:13","http://222.142.221.248:51568/i","offline","2023-03-08 22:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563485/","geenensp"
"2563484","2023-03-08 21:55:07","https://rollodoors.com/sdvaner22.prm","offline","None","malware_download","7ffafcc236a0e41da928b164908364fa,Richiesta_di_preventivo_070323.vbs","https://urlhaus.abuse.ch/url/2563484/","c_APT_ure"
"2563483","2023-03-08 21:54:27","http://27.217.53.150:49852/i","offline","2023-03-09 00:XX:XX","malware_download",",32-bit,elf,mips","https://urlhaus.abuse.ch/url/2563483/","geenensp"
"2563482","2023-03-08 21:52:20","http://117.252.163.196:41751/i","offline","2023-03-08 23:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563482/","geenensp"
"2563481","2023-03-08 21:51:20","http://37.12.90.177:38362/Mozi.m","offline","2023-03-09 01:XX:XX","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563481/","lrz_urlhaus"
"2563480","2023-03-08 21:50:19","http://125.44.11.232:56924/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563480/","lrz_urlhaus"
